Bromine||12/12/2016|0|Solid (g)|7726-95-6|C 112 A|A13|Mallinckrodt|UN1744
Iodine||12/12/2016|0|Solid (g)|7553-56-2|C 112 A|A13||
Potassium Iodide||12/12/2016|0|Solid (g)|7861-11-0|C 112 A|A13|Flinn Scientific|P0279
Sodium Iodide||12/12/2016|0|Solid (g)|7681-82-5|C 112 A|A13|Flinn Scientific|S0084
Sodium Iodide||7/24/2018|0|Solid (g)||c 112 A|A13||
Sodium Phosohate Monobasic Monohydrate||12/12/2016|0|Solid (g)|10049-21-5|C 112 A|A13|Amresco (VWR)|0823-500G
Sodium Phosphate Dibasic Heptahydrate||12/12/2016|0|Solid (g)|7782-85-6|C 112 A|A13|Amresco (VWR)|0348-500G
Aluminum Potassium Sulfate Dodecahydrate||12/12/2016|0|Solid (g)|7784-24-9|C 112 A|A14|Amresco (VWR)|N984-500G
Ammonium Iron (II) Sulfate, Hexahydrate||12/12/2016|0|Solid (g)|7783-85-9|C 112 A|A14|Sigma-Aldrich|215406-100 G
Copper (II) Sulfate, Pentahydrate||12/12/2016|0|Solid (g)|7758-99-8|C 112 A|A14|BDH|BDH9312-500G
Iron (II) Ammonium Sulfate, Hexahydrate||12/12/2016|0|Solid (g)|7783-85-9|C 112 A|A14|J.T. Baker|2054-01
Iron (II) Sulfate, Heptahydrate||12/12/2016|0|Solid (g)|7782-63-0|C 112 A|A14|Sigma-Aldrich|215422-250G
Magnesium Sulfate||7/24/2018|0|Solid (g)|7487-88-9|C 112 A|A14|BDH|BDH9246-500G
Magnesium Sulfate, Anhydrous||12/15/2016|0|Solid (g)|7487-88-9|C 112 A|A14|Amresco|E797-500G
Magnesium Sulfate, Anhydrous||12/12/2016|0|Solid (g)|7487-88-9|C 112 A|A14|Flinn Scientific|M0020
Nickel Sulfate, Hexahydrate||12/12/2016|0|Solid (g)|10101-97-0|C 112 A|A14|Flinn Scientific|N0011
Potassium Hydrogen Phthalate||12/12/2016|0|Solid (g)|877-24-7|C 112 A|A14|BDH|BDH9260-125G
Potassium Phosphate Tribasic||12/15/2016|0|Solid (g)|7778-53-2|C 112 A|A14|Sigma-Aldrich|P5629-5G
Copper (II) Sulfate, Pentahydrate||7/24/2018|0|Solid (g)|7758-99-8|C 112 A|A15|BDH|BDH9312-500G
Magnesium Sulfate, Anhydrous||7/24/2018|0|Solid (g)|7487-88-9|C 112 A|A15|Amresco|E797-500G
Magnesium Sulfate, Anhydrous||12/12/2016|0|Solid (g)|7487-88-9|C 112 A|A15|Amresco|E797-500G
Oxone||12/15/2016|0|Solid (g)|70693-62-8|C 112 A|A15||
Potassium Hydrogen Phthalate||7/24/2018|0|Solid (g)|877-24-7|C 112 A|A15|BDH|BDH9260-125G
Potassium Hydrogen Phthalate||12/12/2016|0|Solid (g)|877-24-7|C 112 A|A15||
Sodium Sulfate, Anhydrous||12/12/2016|0|Solid (g)|7757-82-6|C 112 A|A15|VWR|0836-500G
Sodium Thiosulfate, Pentahydrate||12/12/2016|0|Solid (g)|10102-17-7|C 112 A|A15|Flinn Scientific|S0114
Oxone||12/15/2016|0|Solid (g)|70693-62-8|C 112 A|A16|Beantown Chemical|219215-1KG
Potassium Sodium Tartrate||12/15/2016|0|Solid (g)|6281-59-5|C 112 A|A16|Sigma-Aldrich|217255-100G
Sodium Bisulfite||12/15/2016|0|Solid (g)|7631-90-5|C 112 A|A16|Beantown Chemical|222875-500G
Sodium Bisulfite, Granular||12/12/2016|0|Solid (g)|7631-90-5|C 112 A|A16|J.T. Baker|3556-01
Sodium Bisulfite, meta-||12/12/2016|0|Solid (g)|7681-57-4|C 112 A|A16|J.T. Baker|Jan-52
Sodium Sulfate, Anhydrous||12/12/2016|0|Solid (g)|7757-82-6|C 112 A|A16|Amresco|0836-500G
Sodium Sulfate, Anhydrous||12/12/2016|0|Solid (g)|7757-82-6|C 112 A|A16|BDH|BDH9302-500G
Sodium Sulfate, Anhydrous||7/24/2018|0|Solid (g)|7757-82-6|C 112 A|A16|Sigma-Aldrich|239313-500G
Sodium Sulfate, Decahydrate||12/15/2016|0|Solid (g)|7727-73-3|C 112 A|A16|Flinn|S0104
Sodium Thiosulfate Anhydrous, Granular||12/15/2016|0|Solid (g)|7772-98-7|C 112 A|A16|J.T. Baker|3953-01
Sodium Thiosulfate, Pentahydrate||12/15/2016|0|Solid (g)|10102-17-7|C 112 A|A16|Flinn|S0114
Vanadium (IV) Oxide Sulfate||12/12/2016|0|Solid (g)|123334-20-3|C 112 A|A16|Sigma-Aldrich|233706-25G
Drierite||12/15/2016|0|Solid (g)|7778-18-9|C 112 A|A17|W.A. Hammond Drierite Co.|13005
Ammonium Nitrate||12/15/2016|0|Solid (g)|6484-52-2|C 112 A|A21|J.T. Baker|0729-01
Barium Nitrate||12/15/2016|0|Solid (g)|10022-31-8|C 112 A|A21|Flinn Scientific|B0011
Barium Nitrate||12/15/2016|0|Solid (g)|10022-31-8|C 112 A|A21||
Bismuth (III) Nitrate||12/15/2016|0|Solid (g)|10035-06-0|C 112 A|A21|Sigma-Aldrich|248592-100G
Calcium Nitrate, Tetrahydrate||12/15/2016|0|Solid (g)|13477-34-4|C 112 A|A21|Flinn Scientific|C0026
Calcium Nitrate, Tetrahydrate||12/15/2016|0|Solid (g)|13477-34-4|C 112 A|A21|Sigma-Aldrich|C1396-500G
Calcium Nitrate, Tetrahydrate||12/15/2016|0|Solid (g)|13477-34-4|C 112 A|A21||
Lead (II) Nitrate||12/15/2016|0|Solid (g)|10099-74-8|C 112 A|A21|Fisher|S75326
Lead (II) Nitrate||12/15/2016|0|Solid (g)|10099-74-8|C 112 A|A21|Flinn Scientific|L0015
Magnesium Nitrate, Hexahydrate||12/15/2016|0|Solid (g)|13446-18-9|C 112 A|A21|Fisher|S80065
Nickel (II) Nitrate, Hexahydrate||12/15/2016|0|Solid (g)|13478-00-7|C 112 A|A21|Sigma-Aldrich|24,407-4
Silver Nitrate||12/15/2016|0|Solid (g)|7761-88-8|C 112 A|A21|Flinn Scientific|S0026
Silver Nitrate||12/15/2016|0|Solid (g)|7761-88-8|C 112 A|A21|Alfa Aesar|11414
Silver Nitrate||12/15/2016|0|Solid (g)|7761-88-8|C 112 A|A21|Sigma-Aldrich|209139-25G
Silver Nitrate||12/15/2016|0|Solid (g)|7761-88-8|C 112 A|A21|Acros|41935-5000
Silver Nitrate||7/24/2018|0|Solid (g)|7761-88-8|C 112 A|A21|Ward's science|470302-402
Sodium Nitrite||11/29/2017|0|Solid (g)||C 112 A|A21|Fisher|S-347
||12/15/2016|0|Solid (g)||C 112 A|A22||
Aluminum Metal, Granular||12/15/2016|0|Solid (g)||C 112 A|A22||
Aluminum Metal, Nails||12/15/2016|0|Solid (g)||C 112 A|A22||
Aluminum Metal, Sheet||12/15/2016|0|Solid (g)||C 112 A|A22||
Aluminum Metal, Wire||7/24/2018|0|Solid (g)||C 112 A|A22||
Antimony Metal, Chunks||12/15/2016|0|Solid (g)||C 112 A|A22||
Bismuth Metal, Chunks||12/15/2016|0|Solid (g)||C 112 A|A22||
Bismuth Metal, Granular||12/15/2016|0|Solid (g)||C 112 A|A22|Fisher|B-319
Cobalt Metal, Pellets||12/15/2016|0|Solid (g)||C 112 A|A22|Sargent-Welch|SC-11499-100GM
Copper Metal, Filings||12/15/2016|0|Solid (g)||C 112 A|A22|Baker|
Copper Metal, Granular||12/15/2016|0|Solid (g)|7440-50-8|C 112 A|A22|Mallinckrodt|4649-03
Copper Metal, Powder||12/15/2016|0|Solid (g)|7440-50-8|C 112 A|A22|Alfa Aesar|10160
Copper Metal, Sheets||12/15/2016|0|Solid (g)||C 112 A|A22||
Copper Metal, Shot||12/15/2016|0|Solid (g)||C 112 A|A22|Fisher|C-430
Copper Metal, Shot||12/15/2016|0|Solid (g)||C 112 A|A22|Lab-Aids|11716
Copper Metal, Strips||12/15/2016|0|Solid (g)||C 112 A|A22||
Copper Metal, Wire 22 Gauge||12/15/2016|0|Solid (g)||C 112 A|A22|Flinn Scientific|C0151
Iron Metal, Fillings||12/15/2016|0|Solid (g)|7439-89-6|C 112 A|A22|Flinn Scientific|I0059
Iron Metal, Nails||12/15/2016|0|Solid (g)||C 112 A|A22|Flinn Scientific|I0032
Iron Metal, Powder||12/15/2016|0|Solid (g)|7439-89-6|C 112 A|A22|Beantown Chemical|134755-25G
Iron Metal, Strips||12/15/2016|0|Solid (g)||C 112 A|A22|Flinn Scientific|I0058
Iron Metal, Wire 18 Gauge||12/15/2016|0|Solid (g)||C 112 A|A22|Malin Co|
Iron Ore||12/15/2016|0|Solid (g)||C 112 A|A22|Thorn-Smith|
Lead, Foil||12/15/2016|0|Solid (g)||C 112 A|A23||
Lead, Pieces||12/15/2016|0|Solid (g)||C 112 A|A23||
Lead, Shot No. 11||12/15/2016|0|Solid (g)||C 112 A|A23||
Maganese Metal, powder||7/24/2018|0|Solid (g)||C 112 A|A23||
Magnesium, Metal Ribbon||12/15/2016|0|Solid (g)|7439-95-4|C 112 A|A23|Flinn Scientific|M0001
Magnesium, Metal Turnings||12/15/2016|0|Solid (g)||C 112 A|A23|Fisher|M-11
Magnesium, Metal Turnings||12/15/2016|0|Solid (g)||C 112 A|A23|Sigma-Aldrich|20,090-5
Magnetite Iron Core||7/24/2018|0|Solid (g)||C 112 A|A23||
Nichrome, Wire Loop||12/15/2016|0|Solid (g)||C 112 A|A23||
Nickel Metal, shot||7/24/2018|0|Solid (g)||C 112 A|A23||
Nickel, Metal Granular||12/15/2016|0|Solid (g)||C 112 A|A23|Sargent-Welch|SC13730-1LB
Palladium on carbon||3/15/2019|0|Solid (g)|5/3/7440|C 112 A|A23|TCI|P1785
Silicon Metal||12/15/2016|0|Solid (g)||C 112 A|A23||
Sodium Metal||12/15/2016|0|Solid (g)|7440-23-5|C 112 A|A23|Baker|9410-04
Sodium Metal||12/15/2016|0|Solid (g)||C 112 A|A23|Sigma-Aldrich|483745-100G
Steel, Stainless Helix||12/15/2016|0|Solid (g)||C 112 A|A23||
Tin Metal, Foil||12/15/2016|0|Solid (g)||C 112 A|A24|Fisher|T-130
Tin Metal, Mossy||12/15/2016|0|Solid (g)||C 112 A|A24|Fisher|T-122
Tin Metal, Shot||12/15/2016|0|Solid (g)||C 112 A|A24|Fisher|T-124
Zinc Metal, Granular||12/15/2016|0|Solid (g)|7440-66-7|C 112 A|A24|Fisher|Z16-500
Zinc Metal, Granular||12/15/2016|0|Solid (g)|7440-66-8|C 112 A|A24|Flinn Scientific|Z0002
Zinc Metal, Mossy||12/15/2016|0|Solid (g)|7440-66-9|C 112 A|A24|Flinn Scientific|Z0003
Zinc Metal, Powder||12/15/2016|0|Solid (g)|7440-66-6|C 112 A|A24|Alfa Aesar|L13310
Zinc Metal, Strips||12/15/2016|0|Solid (g)||C 112 A|A24|Fisher|Z-5
Sodium Borohydride, Powder||12/15/2016|0|Solid (g)||C 112 A|A24||
Sodium Borohydride, Powder||11/15/2017|0|Solid (g)|16940-66-2S|C 112 A|A25|Sigma-Aldrich|452882-100G
Lithium aluminum hydride, powder||3/15/2019|0|Solid (g)|16853-85-3|C 112 A|A25|Sigma-Aldrich|199877-25G
Zinc Metal, Foil||12/15/2016|0|Solid (g)||C 112 A|A25|Fisher|Z-9
Ammonium Bicarbonate, powder||11/15/2017|0|Solid (g)|1066-33-7|C 112 A|B4|J.T. Baker|3003-01
Calcium Carbonate||11/15/2017|0|Solid (g)||C 112 A|B4|Fisher|C64-500
Calcium Carbonate||7/24/2018|0|Solid (g)||C 112 A|B4|LD Carlson|
Calcium Carbonate||7/24/2018|0|Solid (g)||C 112 A|B4||
Calcium Carbonate, Anhydrous||7/24/2018|0|Solid (g)||C 112 A|B4||
Calcium Carbonate, Powder||11/15/2017|0|Solid (g)||C 112 A|B4|Sigma-Aldrich|23,921-6
Carbon decolorizing||11/15/2017|0|Solid (g)||C 112 A|B4||
Carbon, Activated Powder||11/15/2017|0|Solid (g)||C 112 A|B4|J.T. Baker|E345-07
Carbon, Activated Powder||7/24/2018|0|Solid (g)||C 112 A|B4||
Cesium Carbonate||11/15/2017|0|Solid (g)|534-17-8|C 112 A|B4|Alfa Aesar|12887
Cesium Carbonate||7/24/2018|0|Solid (g)|534-17-8|C 112 A|B4|Alfa Aesar|12887
Lithium Carbonate||11/15/2017|0|Solid (g)|554-13-2|C 112 A|B4|TCI|L0224
Lithium Carbonate||7/24/2018|0|Solid (g)|554-13-2|C 112 A|B4|TCI|L0224
Manganese (II) Carbonate||11/15/2017|0|Solid (g)|598-62-9|C 112 A|B4|Strem Chemicals|93-2533
Sodium Carbonate||11/15/2017|0|Solid (g)|497-19-8|C 112 A|B4|Fisher|S-263
Sodium Carbonate, Anhydrous||11/15/2017|0|Solid (g)|497-19-8|C 112 A|B4|BDH|BDH9284-500G
Sodium Carbonate, Anhydrous||7/24/2018|0|Solid (g)|497-19-8|C 112 A|B4||
Barium Hydroxide, Octahydrate||11/15/2017|0|Solid (g)|12330-71-6|C 112 A|B5|Flinn Scientific|B0009
Barium Hydroxide, Octahydrate||7/25/2018|0|Solid (g)|12330-71-6|C 112 A|B5|Flinn Scientific|B0009
Cesium Hydroxide, Monohydrate||11/15/2017|0|Solid (g)|35103-79-8|C 112 A|B5|Fluka|21000-10G-F
Potassium Carbonate, Anhydrous||11/15/2017|0|Solid (g)|584-08-7|C 112 A|B5|Amresco|0879-500G
Potassium Carbonate, Anhydrous||7/25/2018|0|Solid (g)|0584-08-07|C 112 A|B5|Amresco|0879-550G
Potassium Hydroxide||11/15/2017|0|Solid (g)|1310-58-3|C 112 A|B5|Amresco|0489-500G
Potassium Hydroxide||11/15/2017|0|Solid (g)|1310-58-3|C 112 A|B5|Fisher|S71978
Potassium Hydroxide||11/15/2017|0|Solid (g)|1310-58-3|C 112 A|B5|Flinn Scientific|P0059
Potassium Hydroxide, Pellet||7/25/2018|0|Solid (g)|1310-58-3|C 112 A|B5|Macron|6984-04
Sodium Bicarbonate||11/15/2017|0|Solid (g)||C 112 A|B5|J.T. Baker|3506-05
Sodium Bicarbonate||7/25/2018|0|Solid (g)||C 112 A|B5||
Sodium Hydrogen Carbonate||11/15/2017|0|Solid (g)|144-55-8|C 112 A|B5|Sigma-Aldrich|236527-2
Sodium Hydroxide, Pellet||11/15/2017|0|Solid (g)|1310-73-2|C 112 A|B5|Macron|7708-10
Sodium Hydroxide, Pellet||11/15/2017|0|Solid (g)|1310-73-2|C 112 A|B5|VWR|0583-500G
Sodium Hydroxide, Pellet||7/25/2018|0|Solid (g)|1310-73-2|C 112 A|B5|VWR|0583-500G
Sodium Hydroxide, Pellet||7/25/2018|0|Solid (g)|1310-73-2|C 112 A|B5|VWR|0583-500G
10 Specimen bottles zinc oxide||11/15/2017|0|Solid (g)|1314-13-2|C 112 A|B6||
Alumina||7/24/2018|0|Solid (g)|1344-28-1|C 112 A|B6||
Alumina||7/24/2018|0|Solid (g)|1344-28-1|C 112 A|B6||
Alumina, 80-200 Mesh||11/15/2017|0|Solid (g)|1344-28-1|C 112 A|B6|EMD|AX0612-1
Alumina, Neutral 80-200 Mesh||11/15/2017|0|Solid (g)|1344-28-1|C 112 A|B6|Fisher|A-950
Aluminum Oxide||11/15/2017|0|Solid (g)|1344-28-1|C 112 A|B6|Fluka|199974-1KG
Calcium Oxide||11/15/2017|0|Solid (g)|1305-78-8|C 112 A|B6|Flinn Scientific|C0263
Magnesium Oxide||11/15/2017|0|Solid (g)|1309-48-4|C 112 A|B6|Flinn Scientific|M0014
Manganese (IV) Oxide||11/15/2017|0|Solid (g)|1313-13-9|C 112 A|B6|Sigma Aldrich|243442-100G
Specimen bottles magnesium oxide (10)||11/15/2017|0|Solid (g)|1309-48-4|C 112 A|B6||
Vanadium (V) Oxide||11/15/2017|0|Solid (g)|1314-62-1|C 112 A|B6|Sigma-Aldrich|223794-100G
Zinc Oxide||11/15/2017|0|Solid (g)|1314-13-2|C 112 A|B6|Flinn Scientific|Z0013
Ammonium Thiocyanate||11/15/2017|0|Solid (g)|1762-95-4|C 112 A|B7|Ward's Science|470300-262
Celite, 545||11/15/2017|0|Solid (g)|68855-54-9|C 112 A|B7|EMD|K44946393 338
Celite, 545||11/15/2017|0|Solid (g)|68855-54-9|C 112 A|B7|Fisher|C212-500
Chelax 100 Resin, 200-400 Mesh||11/15/2017|0|Solid (g)||C 112 A|B7|Bio-Rad|142-1253
Cobalt (II) thiocyanate||11/15/2017|0|Solid (g)|3017-60-5|C 112 A|B7|Aldrich|216135-25G
Cobalt (II) thiocyanate||1/18/2019|0|Solid (g)||C 112 A|B7|Sirchie|
Dowex Ion Exchange Resin, 50WX4-200||11/15/2017|0|Solid (g)|69011-20-7|C 112 A|B7|Sigma-Aldrich|422096-100G
Dowex Optipore, SD-2||11/15/2017|0|Solid (g)||C 112 A|B7|Supelco|14043-U
Duolite Ion Exchange Resin, A-7||11/15/2017|0|Solid (g)|32610-77-8|C 112 A|B7|Sigma-Aldrich|436704-100G
Hyflo Super Cel||11/15/2017|0|Solid (g)||C 112 A|B7|Fisher|H-333
Potassium cyanide||11/15/2017|0|Solid (g)|151-50-8|C 112 A|B7|Alfa Aesar|12136
Potassium Ferricyanide (III), Powder||11/15/2017|0|Solid (g)|13746-66-2|C 112 A|B7|Sigma-Aldrich|702587-50G
Potassium hexacyanoferate (II) triydrate||11/15/2017|0|Solid (g)|14459-95-1|C 112 A|B7|Sigma-Aldrich|P3289-100G
Potassium hexacyanoferate (II) triydrate||11/15/2017|0|Solid (g)|14459-95-1|C 112 A|B7|Alfa Aesar|A15736
Potassium Selenocyanate||7/25/2018|0|Solid (g)|3425-46-5|C 112 A|B7|Sigma-Aldrich|216186-10G
Potassium Thiocyanate||11/15/2017|0|Solid (g)|333-20-0|C 112 A|B7|Mallinckrodt|7168-02
Sephadex Ion Exchange Resin, DEAE A-25||11/15/2017|0|Solid (g)||C 112 A|B7|Sigma-Aldrich|27,127-6
Silica Gel 40-140 Mesh||11/15/2017|0|Solid (g)||C 112 A|B7||
Silica Gel Normal Phase||11/15/2017|0|Solid (g)||C 112 A|B7||
Silica Gel Specimen bottles||11/15/2017|0|Solid (g)||C 112 A|B7||
Silica Gel, 200 Mesh||11/15/2017|0|Solid (g)||C 112 A|B7|Sargent-Welch|SC14605
Silica Gel, 230-400 Mesh||11/15/2017|0|Solid (g)|112926-00-8|C 112 A|B7|Sigma-Aldrich|227196-1KG
Bakelite||11/15/2017|0|Solid (g)||C 112 A|B8||
Calcium Carbide||11/15/2017|0|Solid (g)|75-20-7|C 112 A|B8|Flinn Scientific|C0346
Calcium Carbonate from box||11/15/2017|0|Solid (g)||C 112 A|B8||
Celite 545||11/15/2017|0|Solid (g)|C-212|C 112 A|B8|Fisher Scientific|
Celite, 521||11/15/2017|0|Solid (g)|61790-53-2|C 112 A|B8|Sigma-Aldrich|22,179-1
MP SiliTech, 32-63D||11/15/2017|0|Solid (g)||C 112 A|B8|MP Biomedicals|2776
QuEChERS 2ML centifuge||11/15/2017|0|Solid (g)||C 112 A|B8|UCT|
Sodium Bicarbonate||11/15/2017|0|Solid (g)||C 112 A|B8|J.T. Baker|3506-05
Ammonium Metavanadate||11/15/2017|0|Solid (g)|7803-55-6|C 112 A|B12|Acros Organics|447260250
Ammonium Metavanadate||11/15/2017|0|Solid (g)|7803-55-6|C 112 A|B12|Strem Chemicals, Inc.|93-2301
Ammonium Tetrafluoroborate||11/15/2017|0|Solid (g)|13826-83-0|C 112 A|B12|Sigma-Aldrich|223727-100G
Potassium Permanganate||11/15/2017|0|Solid (g)|7722-64-7|C 112 A|B12|Sigma-Aldrich|223468-500G
Sodium Perborate, Tetrahydrate||11/15/2017|0|Solid (g)|10486-00-7|C 112 A|B12|Alfa Aesar|33383
Sodium Tungstenate, Dihydrate||11/15/2017|0|Solid (g)|10213-10-2|C 112 A|B12|Sigma-Aldrich|T2629-50G
Sodium Tungstenate, Dihydrate||11/15/2017|0|Solid (g)|10213-10-2|C 112 A|B12|Riedel-deHaën|14304
Potassium Chlorate||11/15/2017|0|Solid (g)|4/9/3811|C 112 A|B13|Fisher Scientific|P-212
Potassium Chlorate||7/24/2018|0|Solid (g)|4/9/3811|C 112 A|B13||
Potassium Chlorate, grandular||11/15/2017|0|Solid (g)|4/9/3811|C 112 A|B13|Flinn Scientific|S0216
Potassium Chlorate, powder||11/15/2017|0|Solid (g)|4/9/3811|C 112 A|B13|Flinn Scientific|P0040
Potassium Iodate||11/15/2017|0|Solid (g)|5/6/7758|C 112 A|B13|Flinn Scientific|P0065
Potassium Iodate (10 specimen cups)||11/15/2017|0|Solid (g)|5/6/7758|C 112 A|B13||
Sodium Chlorate||11/15/2017|0|Solid (g)|9/9/7775|C 112 A|B13|Flinn Scientific|S0216
Sodium Chlorite||11/15/2017|0|Solid (g)|7758-19-2|C 112 A|B13|Amresco|N819-1KG
Buffer pH 10.01||7/25/2018|0|Solid (g)||C 112 A|B14||
Buffer, pH 4.0||7/25/2018|0|Solid (g)||C 112 A|B14||
Buffer, pH 10.0||11/15/2017|0|Solid (g)||C 112 A|B14|BDH|BDH5072-500ML
Buffer, pH 10.0||7/25/2018|0|Solid (g)||C 112 A|B14||
Buffer, pH 4.0||11/15/2017|0|Solid (g)||C 112 A|B14|BDH|BDH5018-500ML
Buffer, pH 4.0||11/15/2017|0|Solid (g)||C 112 A|B14|EMD|BX1628-1
Buffer, pH 7.0||11/15/2017|0|Solid (g)||C 112 A|B14|BDH|BDH5046-500ML
Buffer, pH 7.0||11/15/2017|0|Solid (g)||C 112 A|B14|Thomas Scientific|4120-G60
Buffer, pH 7.0||7/25/2018|0|Solid (g)||C 112 A|B14||
Electrode Storage Solution||11/15/2017|0|Solid (g)||C 112 A|B14|VWR|14002-828
Electrode Storage Solution||11/15/2017|0|Solid (g)||C 112 A|B14|Whatman|117.0159
Hydrion Buffer Chemvelopes, pH 10.0||11/15/2017|0|Solid (g)||C 112 A|B14|Micro Essential Laboratory|280-10.00
Hydrion Buffer Chemvelopes, pH 4.0||11/15/2017|0|Solid (g)||C 112 A|B14|Micro Essential Laboratory|280-4.00
Hydrion Buffer Chemvelopes, pH 7.0||11/15/2017|0|Solid (g)||C 112 A|B14|Micro Essential Laboratory|280-7.00
Hydrion Clear Buffer Preservative||11/15/2017|0|Solid (g)||C 112 A|B14||CC-720
Nitrate Electrode Filling solution||11/15/2017|0|Solid (g)||C 112 A|B14|HACH|44569-26
pH bufer 4.01||11/15/2017|0|Solid (g)||C 112 A|B14||
pH Electode Storage Solution||11/15/2017|0|Solid (g)||C 112 A|B14||
pHydrion Buffer Preservatives||11/15/2017|0|Solid (g)||C 112 A|B14|Micro Essential Laboratory|
pHydrion Buffer, pH 3.0||11/15/2017|0|Solid (g)||C 112 A|B14|Metrepak|13-640-303
pHydrion Buffer, pH 4.0||11/15/2017|0|Solid (g)||C 112 A|B14|Metrepak|270-4.00
pHydrion Buffer, pH 6.0||11/15/2017|0|Solid (g)||C 112 A|B14|Metrepak|S30140 20E
